firstname,lastname,gender,hobbies,street address,landmark,area,city,state,pincode,country
,,,,,,Sakkubai Nagar,HYDERABAD,Telangana,500008,India
,,,,,,Sanathnagar I E,RANGAREDDY,Telangana,500018,India
,,,,,,Sanjeev Reddy Nagar,HYDERABAD,Telangana,500038,India
,,,,,,Seetharampet,HYDERABAD,Telangana,500001,India
,,,,,,Shantinagar,HYDERABAD,Telangana,500028,India
,,,,,,Somajiguda,HYDERABAD,Telangana,500082,India
,,,,,,Srinagar Colony,HYDERABAD,Telangana,500073,India
,,,,,,State Bank Of Hyderabad,HYDERABAD,Telangana,500001,India
,,,,,,State Bank Of India,HYDERABAD,Telangana,500095,India
,,,,,,Toli Chowki,HYDERABAD,Telangana,500008,India
,,,,,,Vengal Rao Nagar,HYDERABAD,Telangana,500038,India
,,,,,,Vidhan Sabha,HYDERABAD,Telangana,500004,India
,,,,,,Vijay Nagar Colony,HYDERABAD,Telangana,500057,India
,,,,,,Vivekananda Nagar Colony,HYDERABAD,Telangana,500018,India
,,,,,,Wattinagulapalli,RANGAREDDY,Telangana,500075,India
,,,,,,Yousufguda,HYDERABAD,Telangana,500045,India
,,,,,,Hyderabad G.P.O.,HYDERABAD,Telangana,500001,India
,,,,,,Adibhatla,RANGAREDDY,Telangana,501510,India
,,,,,,Aghapalli,RANGAREDDY,Telangana,501506,India
,,,,,,Agriculture College,RANGAREDDY,Telangana,500030,India
,,,,,,Akulamylaram,RANGAREDDY,Telangana,501509,India
,,,,,,Almasguda,Ranga Reddy,Telangana,500112,India
,,,,,,Amberpet,HYDERABAD,Telangana,500013,India
,,,,,,Anajpur,RANGAREDDY,Telangana,501512,India
,,,,,,Andhra Mahila Sabha,HYDERABAD,Telangana,500044,India
,,,,,,Arutla,RANGAREDDY,Telangana,501508,India
,,,,,,Autonagar,Ranga Reddy,Telangana,500115,India
,,,,,,Badangpet,RANGAREDDY,Telangana,500058,India
,,,,,,Badangpet,Ranga Reddy,Telangana,500112,India
,,,,,,Bahadurpura,HYDERABAD,Telangana,500064,India
,,,,,,Balapur,RANGAREDDY,Telangana,500005,India
,,,,,,Bandaraviryal,RANGAREDDY,Telangana,501505,India
,,,,,,Barkatpura,HYDERABAD,Telangana,500027,India
,,,,,,Batasingaram,RANGAREDDY,Telangana,501512,India
,,,,,,Begum Bazar,HYDERABAD,Telangana,500012,India
,,,,,,Boduppal,RANGAREDDY,Telangana,500092,India
,,,,,,C.R.P. Camp,HYDERABAD,Telangana,500005,India
,,,,,,Chaitanyapuri Colony,RANGAREDDY,Telangana,500060,India
,,,,,,Cherlapatelguda,RANGAREDDY,Telangana,501506,India
,,,,,,Chinnagolconda,RANGAREDDY,Telangana,501218,India
,,,,,,Chintapatla,RANGAREDDY,Telangana,501509,India
,,,,,,Chippalapalli,RANGAREDDY,Telangana,501359,India
,,,,,,Chowderpalli,RANGAREDDY,Telangana,501509,India
,,,,,,Dabbediguda,RANGAREDDY,Telangana,501359,India
,,,,,,Dilsukhnagar Colony,RANGAREDDY,Telangana,500060,India
,,,,,,Donsco Nagar,RANGAREDDY,Telangana,500086,India
,,,,,,Eliminedu,RANGAREDDY,Telangana,501506,India
,,,,,,Falaknuma,HYDERABAD,Telangana,500053,India
,,,,,,Fatehdarwaza,HYDERABAD,Telangana,500065,India
,,,,,,G.S.I (S.R) Bandlaguda,RANGAREDDY,Telangana,500068,India
,,,,,,Gaganpahad,RANGAREDDY,Telangana,500052,India
,,,,,,Gayathrinagar,RANGAREDDY,Telangana,500097,India
,,,,,,Gollapallikalan,RANGAREDDY,Telangana,501218,India
,,,,,,Gowrelly,RANGAREDDY,Telangana,501505,India
,,,,,,Gudur,RANGAREDDY,Telangana,501359,India
,,,,,,Gummadvalli,RANGAREDDY,Telangana,501506,India
,,,,,,Gungal,RANGAREDDY,Telangana,501506,India
,,,,,,Hasthinapuram,RANGAREDDY,Telangana,500079,India
,,,,,,Hayatnagar,RANGAREDDY,Telangana,501505,India
,,,,,,High Court,HYDERABAD,Telangana,500066,India
,,,,,,Hindustan Cables,RANGAREDDY,Telangana,500051,India
,,,,,,Huda Resi. Complex,RANGAREDDY,Telangana,500035,India
,,,,,,Hyd. Pub. School Ramanthapur,RANGAREDDY,Telangana,500013,India
,,,,,,Hyderabad Jubilee,HYDERABAD,Telangana,500002,India
,,,,,,Hyderguda,RANGAREDDY,Telangana,500048,India
,,,,,,I.E.Nacharam,RANGAREDDY,Telangana,500076,India
,,,,,,Ibrahimpatnam,RANGAREDDY,Telangana,501506,India
,,,,,,Jaitwaram,RANGAREDDY,Telangana,501359,India
,,,,,,Jalpally,RANGAREDDY,Telangana,500005,India
,,,,,,Japal,RANGAREDDY,Telangana,501508,India
,,,,,,Jillellaguda,RANGAREDDY,Telangana,500079,India
,,,,,,Kanchanbagh,RANGAREDDY,Telangana,500058,India
,,,,,,Kandukur,RANGAREDDY,Telangana,501359,India
,,,,,,Kappapahad,RANGAREDDY,Telangana,501506,India
,,,,,,Kattedan I.E.,RANGAREDDY,Telangana,500077,India
,,,,,,Kawadpalli,RANGAREDDY,Telangana,501505,India
,,,,,,Keshogiri,HYDERABAD,Telangana,500005,India
,,,,,,Kismatpur,RANGAREDDY,Telangana,500030,India
,,,,,,Koheda,RANGAREDDY,Telangana,501511,India
,,,,,,Kongarakalan,RANGAREDDY,Telangana,501510,India
,,,,,,Kongararaviral,RANGAREDDY,Telangana,501510,India
,,,,,,Kothapalli,RANGAREDDY,Telangana,501509,India
,,,,,,Kothwalguda,RANGAREDDY,Telangana,501218,India
,,,,,,Kuntloor,RANGAREDDY,Telangana,501505,India
,,,,,,Kurmidda,RANGAREDDY,Telangana,501509,India
,,,,,,Lal Bahadurnagar,RANGAREDDY,Telangana,500074,India
,,,,,,Lemur,RANGAREDDY,Telangana,501359,India
,,,,,,Lingampalli,RANGAREDDY,Telangana,501508,India
,,,,,,Madhapur,RANGAREDDY,Telangana,501506,India
,,,,,,Mailaram,RANGAREDDY,Telangana,501508,India
,,,,,,Maisaram,RANGAREDDY,Telangana,501359,India
,,,,,,Malakpet Colony,RANGAREDDY,Telangana,500036,India
,,,,,,Manchal,RANGAREDDY,Telangana,501508,India
,,,,,,Mangalpalli,RANGAREDDY,Telangana,501510,India
,,,,,,Mankhal,RANGAREDDY,Telangana,501359,India
,,,,,,Manthangoud Gowrelly,RANGAREDDY,Telangana,501509,India
,,,,,,Medipalli,RANGAREDDY,Telangana,501509,India
,,,,,,Medipalli,RANGAREDDY,Telangana,500098,India
,,,,,,Meerpet,RANGAREDDY,Telangana,500097,India
,,,,,,Mirkhanpet,RANGAREDDY,Telangana,501509,India
,,,,,,Moghalpura,HYDERABAD,Telangana,500002,India
,,,,,,Mondigowrelly,RANGAREDDY,Telangana,501509,India
,,,,,,Nadergul,RANGAREDDY,Telangana,501510,India
,,,,,,Nagaram,RANGAREDDY,Telangana,501218,India
,,,,,,Nallakunta,HYDERABAD,Telangana,500044,India
,,,,,,Nallavelli,RANGAREDDY,Telangana,501509,India
,,,,,,Nanajpur,RANGAREDDY,Telangana,501218,India
,,,,,,Nandiwanaparthi,RANGAREDDY,Telangana,501509,India
,,,,,,Narkhoda,RANGAREDDY,Telangana,501218,India
,,,,,,Nazdeek Singaram,RANGAREDDY,Telangana,501509,India
,,,,,,Nednur,RANGAREDDY,Telangana,501359,India
,,,,,,New Nallakunta,HYDERABAD,Telangana,500044,India
,,,,,,Osmannagar,HYDERABAD,Telangana,500036,India
,,,,,,P and T Colony (Gaddiannaram),RANGAREDDY,Telangana,500060,India
,,,,,,Pahadisharif,HYDERABAD,Telangana,500005,India
,,,,,,Pasumamla,RANGAREDDY,Telangana,501505,India
,,,,,,Pedda Amberpet,RANGAREDDY,Telangana,501505,India
,,,,,,Peerzadiguda,RANGAREDDY,Telangana,500039,India
,,,,,,Pocharam,RANGAREDDY,Telangana,501506,India
,,,,,,Polkampalli,RANGAREDDY,Telangana,501508,India
,,,,,,Pulmamdi,RANGAREDDY,Telangana,501359,India
,,,,,,Qutbullahpur,RANGAREDDY,Telangana,501505,India
,,,,,,R.G.I. Airport,RANGAREDDY,Andhra Pradesh,500108,India
,,,,,,Rachaloor,RANGAREDDY,Telangana,501359,India
,,,,,,Ragannaguda X Road,RANGAREDDY,Telangana,501510,India
,,,,,,Raipole,RANGAREDDY,Telangana,501508,India
,,,,,,Rajendranagar,RANGAREDDY,Telangana,500030,India
,,,,,,Rama Krishnapuram,RANGAREDDY,Telangana,500102,India
,,,,,,Ramdaspalli,RANGAREDDY,Telangana,501510,India
,,,,,,Ramoji Film City,RANGAREDDY,Telangana,501512,India
,,,,,,Rangapur,RANGAREDDY,Telangana,501508,India
,,,,,,Rangareddy District Court,RANGAREDDY,Telangana,500074,India
,,,,,,Research Centre Imarat,RANGAREDDY,Telangana,500069,India
,,,,,,S.V.P.N.P.A.,RANGAREDDY,Telangana,500052,India
,,,,,,Sahifa,HYDERABAD,Telangana,500024,India
,,,,,,Saidabad Colony,HYDERABAD,Telangana,500059,India
,,,,,,Saidabad,HYDERABAD,Telangana,500059,India
,,,,,,Sanghinagar,RANGAREDDY,Telangana,501511,India
,,,,,,Santoshnagar Colony,HYDERABAD,Telangana,500059,India
,,,,,,Saradanagar,RANGAREDDY,Telangana,500070,India
,,,,,,Saroornagar,RANGAREDDY,Telangana,500035,India
,,,,,,Seriguda,RANGAREDDY,Telangana,501510,India
,,,,,,Shahalibanda,HYDERABAD,Telangana,500065,India
,,,,,,Shamshabad,RANGAREDDY,Telangana,501218,India
,,,,,,Snehapuri Colony,RANGAREDDY,Telangana,500076,India
,,,,,,Sripuram Colony,HYDERABAD,Telangana,500036,India
,,,,,,Stn. Kachiguda,HYDERABAD,Telangana,500027,India
,,,,,,Tadban,HYDERABAD,Telangana,500064,India
,,,,,,Tadlapalliguda,RANGAREDDY,Telangana,501508,India
,,,,,,Taramatipet,RANGAREDDY,Telangana,501505,India
,,,,,,Tatiparthy,RANGAREDDY,Telangana,501509,India
,,,,,,Timmapur,RANGAREDDY,Telangana,501506,India
,,,,,,Toolkalan,RANGAREDDY,Telangana,501509,India
,,,,,,Toolkhurd,RANGAREDDY,Telangana,501509,India
,,,,,,Torrur,RANGAREDDY,Telangana,501511,India
,,,,,,Tummaloor,RANGAREDDY,Telangana,501359,India
,,,,,,Turkayamjal,RANGAREDDY,Telangana,501510,India
,,,,,,Uppal,RANGAREDDY,Telangana,500039,India
,,,,,,Uppuguda,HYDERABAD,Telangana,500053,India
,,,,,,Vaidehinagar,RANGAREDDY,Telangana,500070,India
,,,,,,Vaishalinagar,RANGAREDDY,Telangana,500079,India
,,,,,,Vanasthalipuram,RANGAREDDY,Telangana,500070,India
,,,,,,Vidyanagar,HYDERABAD,Telangana,500044,India
,,,,,,Vinjapur,RANGAREDDY,Telangana,501510,India
,,,,,,Yacharam,RANGAREDDY,Telangana,501509,India
,,,,,,Yakutpura,HYDERABAD,Telangana,500023,India
,,,,,,Zindatilismath,HYDERABAD,Telangana,500013,India
,,,,,,Ahmedipur,SIDDIPET,Telangana,502278,India
,,,,,,Akaram,SIDDIPET,Telangana,502108,India
,,,,,,Akkannapet,MEDAK,Telangana,502115,India
,,,,,,Akkaram,SIDDIPET,Telangana,502311,India
,,,,,,Akkenapally,SIDDIPET,Telangana,502280,India
,,,,,,Alirajpet,SIDDIPET,Telangana,502281,India
,,,,,,Allipur,MEDAK,Telangana,502310,India
,,,,,,Alwal,MEDAK,Telangana,502247,India
,,,,,,Ambedkarnagar,SIDDIPET,Telangana,502103,India
,,,,,,Amsanipally,MEDAK,Telangana,502109,India
,,,,,,Anajipur,SIDDIPET,Telangana,502278,India
,,,,,,Ananthasagar,MEDAK,Telangana,502247,India
,,,,,,Ananthsagar,SIDDIPET,Telangana,502267,India
,,,,,,Ande,SIDDIPET,Telangana,502108,India
,,,,,,Ankireddipally,MEDAK,Telangana,502277,India
,,,,,,Ankshapur,SIDDIPET,Telangana,502280,India
,,,,,,Appanapally,SIDDIPET,Telangana,502114,India
,,,,,,Arkela,MEDAK,Telangana,502302,India
,,,,,,Ausulapally,MEDAK,Telangana,502113,India
,,,,,,Bacharam,MEDAK,Telangana,502302,India
,,,,,,Baddipadaga,SIDDIPET,Telangana,502375,India
,,,,,,Bakrichepial,MEDAK,Telangana,502277,India
,,,,,,Banda Posanipally,MEDAK,Telangana,502117,India
,,,,,,Bandaram,MEDAK,Telangana,502277,India
,,,,,,Bangla Venkatapur,MEDAK,Telangana,502334,India
,,,,,,Bayyaram,SIDDIPET,Telangana,502278,India
,,,,,,Begumpet,MEDAK,Telangana,502334,India
,,,,,,Bejgaon,SIDDIPET,Telangana,502278,India
,,,,,,Bhailampur,SIDDIPET,Telangana,502279,India
,,,,,,Bharathnagar Town,SIDDIPET,Telangana,502103,India
,,,,,,Bhumpally,SIDDIPET,Telangana,502102,India
,,,,,,Bodagattu,MEDAK,Telangana,502302,India
,,,,,,Boguda Bhupathipur,MEDAK,Telangana,502113,India
,,,,,,BONAL,MEDAK,Telangana,502247,India
,,,,,,Brahamanpally,MEDAK,Telangana,502334,India
,,,,,,Bujrampet,MEDAK,Telangana,502381,India
,,,,,,Burugupally,MEDAK,Telangana,502113,India
,,,,,,Ch.Ankireddipally,SIDDIPET,Telangana,502267,India
,,,,,,Chandaipet,MEDAK,Telangana,502247,India
,,,,,,Chandampet,MEDAK,Telangana,502255,India
,,,,,,Chandi,MEDAK,Telangana,502334,India
,,,,,,Chandlapur,SIDDIPET,Telangana,502276,India
,,,,,,Chatlapally,SIDDIPET,Telangana,502301,India
,,,,,,Chebarthy,SIDDIPET,Telangana,502279,India
,,,,,,Cheekode,MEDAK,Telangana,502108,India
,,,,,,Cheelasagr,SIDDIPET,Telangana,502279,India
,,,,,,Chegunta,MEDAK,Telangana,502255,India
,,,,,,Chellapur,MEDAK,Telangana,502108,India
,,,,,,Chelmeda,SIDDIPET,Telangana,502102,India
,,,,,,Chepial,MEDAK,Telangana,502247,India
,,,,,,Chinna Gundavelli,SIDDIPET,Telangana,502107,India
,,,,,,Chinna Kistapur,SIDDIPET,Telangana,502301,India
,,,,,,Chinna Shivnoor,MEDAK,Telangana,502255,India
,,,,,,Chinthamadaka,SIDDIPET,Telangana,502107,India
,,,,,,Chittapur,SIDDIPET,Telangana,502108,India
,,,,,,Choudaram,MEDAK,Telangana,502310,India
,,,,,,Dacharam,SIDDIPET,Telangana,502278,India
,,,,,,Daripally,MEDAK,Telangana,502255,India
,,,,,,Daulapur,SIDDIPET,Telangana,502281,India
,,,,,,Dhamarakunta,SIDDIPET,Telangana,502281,India
,,,,,,Dhanoora,MEDAK,Telangana,502302,India
,,,,,,Dharmajipet,SIDDIPET,Telangana,502108,India
,,,,,,Dharmaram,MEDAK,Telangana,502108,India
,,,,,,Dharmareddipally,SIDDIPET,Telangana,502278,India
,,,,,,Dilalpur,SIDDIPET,Telangana,502278,India
,,,,,,Dommat,MEDAK,Telangana,502247,India
,,,,,,Dongala Dharmaram,MEDAK,Telangana,502102,India
,,,,,,Donthi,MEDAK,Telangana,502334,India
,,,,,,Doulathabad,MEDAK,Telangana,502247,India
,,,,,,Dubbak,SIDDIPET,Telangana,502108,India
,,,,,,Duddeda,MEDAK,Telangana,502277,India
,,,,,,Dumpalapally,MEDAK,Telangana,502108,India
,,,,,,Elakurthy,MEDAK,Telangana,502302,India
,,,,,,Erraballi,SIDDIPET,Telangana,502279,India
,,,,,,Etigadda Kistapur,SIDDIPET,Telangana,502301,India
,,,,,,Fareedpur,MEDAK,Telangana,502130,India
,,,,,,Gambheerpur,MEDAK,Telangana,502108,India
,,,,,,Gangapur,MEDAK,Telangana,502115,India
,,,,,,Gatlamalyal,SIDDIPET,Telangana,502280,India
,,,,,,Gavvalapally,MEDAK,Telangana,502248,India
,,,,,,Ghanpur,MEDAK,Telangana,502334,India
,,,,,,Ghanpur,SIDDIPET,Telangana,502114,India
,,,,,,Gollapally,SIDDIPET,Telangana,502281,India
,,,,,,Gonepally,SIDDIPET,Telangana,502267,India
,,,,,,Gouraram,MEDAK,Telangana,502279,India
,,,,,,Gudikandula,SIDDIPET,Telangana,502114,India
,,,,,,Gujvail,SIDDIPET,Telangana,502278,India
,,,,,,Gundavelly,MEDAK,Telangana,502108,India
,,,,,,Gunreddipally,MEDAK,Telangana,502335,India
,,,,,,Gurralagondi,SIDDIPET,Telangana,502276,India
,,,,,,Habsipur,SIDDIPET,Telangana,502108,India
,,,,,,Haveli Ghanpur,MEDAK,Telangana,502113,India
,,,,,,Ibrahimnagar,SIDDIPET,Telangana,502267,India
,,,,,,Ibrahimpur,MEDAK,Telangana,502247,India
,,,,,,Ibrahimpur,SIDDIPET,Telangana,502107,India
,,,,,,Indupial,MEDAK,Telangana,502247,India
,,,,,,Insanpally,SIDDIPET,Telangana,502114,India
,,,,,,Irkode,SIDDIPET,Telangana,502114,India
,,,,,,Islampur,MEDAK,Telangana,502335,India
,,,,,,Itikyala,SIDDIPET,Telangana,502281,India
,,,,,,Jagadevpur,SIDDIPET,Telangana,502281,India
,,,,,,Jakkapur,SIDDIPET,Telangana,502276,India
,,,,,,Jaligaon,MEDAK,Telangana,502278,India
,,,,,,Jangapalli,SIDDIPET,Telangana,502102,India
,,,,,,Kadlakal,MEDAK,Telangana,502336,India
,,,,,,Kadloor,MEDAK,Telangana,502302,India
,,,,,,Kalwakunta,SIDDIPET,Telangana,502102,India
,,,,,,Kanugal,SIDDIPET,Telangana,502114,India
,,,,,,Kaslabad,SIDDIPET,Telangana,502108,India
,,,,,,Katrial,MEDAK,Telangana,502115,India
,,,,,,Khajapur,MEDAK,Telangana,502248,India
,,,,,,Khajipur,SIDDIPET,Telangana,502102,India
,,,,,,Khata,SIDDIPET,Telangana,502280,India
,,,,,,Kodakandla,SIDDIPET,Telangana,502312,India
,,,,,,Kodapaka,MEDAK,Telangana,502331,India
,,,,,,Kodurkurd,SIDDIPET,Telangana,502276,India
,,,,,,Kokonda,MEDAK,Telangana,502336,India
,,,,,,Kolgur,SIDDIPET,Telangana,502278,India
,,,,,,Konapur,SIDDIPET,Telangana,502102,India
,,,,,,Kondapak,SIDDIPET,Telangana,502372,India
,,,,,,Kondapur,SIDDIPET,Telangana,502102,India
,,,,,,Kongal Ghanpur,MEDAK,Telangana,502381,India
,,,,,,Kothapalli,MEDAK,Telangana,502331,India
,,,,,,Kuchanpally,MEDAK,Telangana,502130,India
,,,,,,Kuchavaram,MEDAK,Telangana,502336,India
,,,,,,Kuknoor,MEDAK,Telangana,502109,India
,,,,,,Kuknoorpally,SIDDIPET,Telangana,502301,India
,,,,,,Kulcharam,MEDAK,Telangana,502381,India
,,,,,,Kunthanpally,MEDAK,Telangana,502335,India
,,,,,,Kurthiwada,MEDAK,Telangana,502331,India
,,,,,,Lachapet,SIDDIPET,Telangana,502108,India
,,,,,,Laxmapur,MEDAK,Telangana,502115,India
,,,,,,Laxminagar,MEDAK,Telangana,502125,India
,,,,,,Lingaipally,MEDAK,Telangana,502303,India
,,,,,,Lingareddipally,SIDDIPET,Telangana,502276,India
,,,,,,M. Jalalpur.,MEDAK,Telangana,502109,India
,,,,,,M.Bhupathipur,MEDAK,Telangana,502117,India
,,,,,,Machapur,SIDDIPET,Telangana,531149,India
,,,,,,Machavaram,MEDAK,Telangana,502109,India
,,,,,,Maddulwai,MEDAK,Telangana,502130,India
,,,,,,Madur,MEDAK,Telangana,502248,India
,,,,,,Majeedpally,MEDAK,Telangana,502334,India
,,,,,,Makkarajpet,MEDAK,Telangana,502247,India
,,,,,,Mallampet,MEDAK,Telangana,502303,India
,,,,,,Malyal,SIDDIPET,Telangana,502102,India
,,,,,,Mamidial,SIDDIPET,Telangana,502279,India
,,,,,,Mandapally,SIDDIPET,Telangana,502267,India
,,,,,,Manepally,MEDAK,Telangana,502109,India
,,,,,,Mangalparthy,MEDAK,Telangana,502109,India
,,,,,,Mangole,SIDDIPET,Telangana,502301,India
,,,,,,Manoharabad,MEDAK,Telangana,502336,India
,,,,,,Markook,SIDDIPET,Telangana,502279,India
,,,,,,Marpadaga,SIDDIPET,Telangana,502372,India
,,,,,,Masaipet,MEDAK,Telangana,502335,India
,,,,,,Medak Buss stand,MEDAK,Telangana,502110,India
,,,,,,Medak,MEDAK,Telangana,502110,India
,,,,,,Medak Town,MEDAK,Telangana,502110,India
,,,,,,Medipally,SIDDIPET,Telangana,502267,India
,,,,,,Meenajipet,MEDAK,Telangana,502336,India
,,,,,,Mirdiddi,SIDDIPET,Telangana,502108,India
,,,,,,Mirzapally,MEDAK,Telangana,502248,India
,,,,,,Mittapally,SIDDIPET,Telangana,502375,India
,,,,,,Mothe,SIDDIPET,Telangana,502108,India
,,,,,,Mulugu,SIDDIPET,Telangana,502279,India
,,,,,,Munigadapa,SIDDIPET,Telangana,502312,India
,,,,,,Mupparam,MEDAK,Telangana,502302,India
,,,,,,Mutrajpally,MEDAK,Telangana,502278,India
,,,,,,Mylaram,SIDDIPET,Telangana,502279,India
,,,,,,Mylaram,MEDAK,Telangana,502310,India
,,,,,,Nacharam,MEDAK,Telangana,502334,India
,,,,,,Nagapuram,MEDAK,Telangana,502113,India
,,,,,,Nagasanipally,MEDAK,Telangana,502331,India
,,,,,,Nagulapally,MEDAK,Telangana,502335,India
,,,,,,Nangnoor,SIDDIPET,Telangana,502280,India
,,,,,,Narayanaraopet,SIDDIPET,Telangana,502107,India
,,,,,,Narlapur,SIDDIPET,Telangana,502102,India
,,,,,,Narmetta,SIDDIPET,Telangana,502375,India
,,,,,,Narsampally,SIDDIPET,Telangana,502279,India
,,,,,,Narsingee,MEDAK,Telangana,502248,India
,,,,,,Naskal,SIDDIPET,Telangana,502102,India
,,,,,,Nehru Road Town,SIDDIPET,Telangana,502103,India
,,,,,,Nemtur,MEDAK,Telangana,502334,India
,,,,,,Nizampet,SIDDIPET,Telangana,502102,India
,,,,,,Paitara,MEDAK,Telangana,502381,India
,,,,,,Palamakula,SIDDIPET,Telangana,502375,India
,,,,,,Pallepahad,SIDDIPET,Telangana,502301,India
,,,,,,Palvancha,MEDAK,Telangana,502302,India
,,,,,,Pambanda,MEDAK,Telangana,502334,India
,,,,,,Pamulaparthy,SIDDIPET,Telangana,502279,India
,,,,,,Papannapet,MEDAK,Telangana,502303,India
,,,,,,Parikibanda,MEDAK,Telangana,502336,India
,,,,,,Pathur,MEDAK,Telangana,502113,India
,,,,,,Pedda Koduru,SIDDIPET,Telangana,502276,India
,,,,,,Pedda Masanipally,SIDDIPET,Telangana,502372,India
,,,,,,Peerlapally,SIDDIPET,Telangana,502281,India
,,,,,,Perur,MEDAK,Telangana,502109,India
,,,,,,Pidched,MEDAK,Telangana,502278,India
,,,,,,Podichanpally,MEDAK,Telangana,502125,India
,,,,,,Ponnal,MEDAK,Telangana,502277,India
,,,,,,Pothamshettipally,MEDAK,Telangana,502109,India
,,,,,,Pothireddipet,SIDDIPET,Telangana,502102,India
,,,,,,Prashanthnagar Town,SIDDIPET,Telangana,502103,India
,,,,,,Pregnapur,SIDDIPET,Telangana,502311,India
,,,,,,Pullur,KARIM NAGAR,Telangana,502107,India
,,,,,,Raghvapur,SIDDIPET,Telangana,502107,India
,,,,,,Raiploe,SIDDIPET,Telangana,502278,India
,,,,,,Rajakkapat,SIDDIPET,Telangana,502108,India
,,,,,,Rajgopalpet,SIDDIPET,Telangana,502375,India
,,,,,,Rajpally,MEDAK,Telangana,502117,India
,,,,,,Rajpet,MEDAK,Telangana,502113,India
,,,,,,Ramakkapet,SIDDIPET,Telangana,502108,India
,,,,,,Ramancha,SIDDIPET,Telangana,502276,India
,,,,,,Ramaram,SIDDIPET,Telangana,502278,India
,,,,,,Ramasagar,SIDDIPET,Telangana,502278,India
,,,,,,Ramayampet,MEDAK,Telangana,502101,India
,,,,,,Rampur,MEDAK,Telangana,502109,India
,,,,,,Rampur,SIDDIPET,Telangana,502375,India
,,,,,,Ramunipatla,SIDDIPET,Telangana,502267,India
,,,,,,Rangampet,MEDAK,Telangana,502381,India
,,,,,,Raorukala,SIDDIPET,Telangana,502107,India
,,,,,,Ravelli,MEDAK,Telangana,502336,India
,,,,,,Rayalapur,SIDDIPET,Telangana,502102,India
,,,,,,Reddipally,MEDAK,Telangana,502255,India
,,,,,,Rimmanguda,SIDDIPET,Telangana,502312,India
,,,,,,Rudraram,SIDDIPET,Telangana,502102,India
,,,,,,Ryalamagudu,MEDAK,Telangana,502109,India
,,,,,,S. Kondapur,MEDAK,Telangana,502117,India
,,,,,,Sangaipet,MEDAK,Telangana,502381,India
,,,,,,Sardana,MEDAK,Telangana,502130,India
,,,,,,Settipally Kalan,MEDAK,Telangana,502117,India
,,,,,,Shankarampet,MEDAK,Telangana,502248,India
,,,,,,Shivampet,MEDAK,Telangana,502334,India
,,,,,,Siddipet Busstand,SIDDIPET,Telangana,502103,India
,,,,,,Siddipet,SIDDIPET,Telangana,502103,India
,,,,,,Sikindlapur,SIDDIPET,Telangana,502267,India
,,,,,,Singavatum,SIDDIPET,Telangana,502278,India
,,,,,,Sirigiripally,SIDDIPET,Telangana,502311,India
,,,,,,Sirisinagandla,SIDDIPET,Telangana,502372,India
,,,,,,Surampally,MEDAK,Telangana,502247,India
,,,,,,Suraram,MEDAK,Telangana,502255,India
,,,,,,Tadakapally,SIDDIPET,Telangana,502114,India
,,,,,,Tampulur,MEDAK,Telangana,502302,India
,,,,,,Teegul,SIDDIPET,Telangana,502311,India
,,,,,,Teegul Narsapur,SIDDIPET,Telangana,502301,India
,,,,,,Tekmal,MEDAK,Telangana,502302,India
,,,,,,Thimmapur,SIDDIPET,Telangana,502114,India
,,,,,,Thirumalapur,SIDDIPET,Telangana,502278,India
,,,,,,Thoguta,SIDDIPET,Telangana,502372,India
,,,,,,Thonigandla,MEDAK,Telangana,502115,India
,,,,,,Timmaipally,MEDAK,Telangana,502113,India
,,,,,,Timmapur,SIDDIPET,Telangana,502312,India
,,,,,,Timmareddipally,SIDDIPET,Telangana,502372,India
,,,,,,Tipparam,SIDDIPET,Telangana,502301,India
,,,,,,Toguta,MEDAK,Telangana,502130,India
,,,,,,Toopran,MEDAK,Telangana,502334,India
,,,,,,Tornal,SIDDIPET,Telangana,502114,India
,,,,,,Tuniki,MEDAK,Telangana,502336,India
,,,,,,Tunikillaram,SIDDIPET,Telangana,502279,India
,,,,,,Uppu Lingapur,MEDAK,Telangana,502255,India
,,,,,,Varadarajapuram,SIDDIPET,Telangana,502281,India
,,,,,,Velikatta,MEDAK,Telangana,502277,India
,,,,,,Velkatur,SIDDIPET,Telangana,502375,India
,,,,,,Veloor,MEDAK,Telangana,502336,India
,,,,,,Vemulagattu,SIDDIPET,Telangana,502301,India
,,,,,,Venkatapur,Mancherial,Telangana,502117,India
,,,,,,Venkatapur,SIDDIPET,Telangana,502375,India
,,,,,,Venkatapur,MEDAK,Telangana,502117,India
,,,,,,Venkatapur,SIDDIPET,Telangana,502114,India
,,,,,,Venkataraopet,SIDDIPET,Telangana,502278,India
,,,,,,Vittalapur,MEDAK,Telangana,502310,India
,,,,,,Waddepalli,MEDAK,Telangana,502334,India
,,,,,,Wadiaram,MEDAK,Telangana,502255,India
,,,,,,Wargal,SIDDIPET,Telangana,502279,India
,,,,,,Wariguntham,MEDAK,Telangana,502381,India
,,,,,,Watipally,SIDDIPET,Telangana,502312,India
,,,,,,Yelapgonda,MEDAK,Telangana,502302,India
,,,,,,Yeldurthy,MEDAK,Telangana,502255,India
,,,,,,Yellapur,MEDAK,Telangana,502125,India
,,,,,,Yellareddypet,SIDDIPET,Telangana,502372,India
,,,,,,Yenagandla,MEDAK,Telangana,502381,India
,,,,,,Yenagurthy,SIDDIPET,Telangana,502108,India
,,,,,,Yerraballi,SIDDIPET,Telangana,502301,India
